Packet,PacketType,SampleNumber,Timestamp,PD,Temp_PY_TOP,Temp_PY_BOT,Temp_MIS7,Step,Data0,Data1
9,IV_Continuation,1,2700,1507,705,1221,1459,170,2691,2041
9,IV_Continuation,1,2700,1507,705,1221,1459,171,2707,2047
9,IV_Continuation,1,2700,1507,705,1221,1459,172,2721,2043
9,IV_Continuation,1,2700,1507,705,1221,1459,173,2739,2041
9,IV_Continuation,1,2700,1507,705,1221,1459,174,2753,2049
9,IV_Continuation,1,2700,1507,705,1221,1459,175,2769,2049
9,IV_Continuation,1,2700,1507,705,1221,1459,176,2785,2047
9,IV_Continuation,1,2700,1507,705,1221,1459,177,2803,2043
9,IV_Continuation,1,2700,1507,705,1221,1459,178,2819,2043
9,IV_Continuation,1,2700,1507,705,1221,1459,179,2833,2043
9,IV_Continuation,1,2700,1507,705,1221,1459,180,2849,2041
9,IV_Continuation,1,2700,1507,705,1221,1459,181,2865,2041
9,IV_Continuation,1,2700,1507,705,1221,1459,182,2881,2043
9,IV_Continuation,1,2700,1507,705,1221,1459,183,2899,2047
9,IV_Continuation,1,2700,1507,705,1221,1459,184,2915,2045
9,IV_Continuation,1,2700,1507,705,1221,1459,185,2931,2047
10,IV_Continuation,1,2700,1507,705,1221,1459,186,2945,2043
10,IV_Continuation,1,2700,1507,705,1221,1459,187,2961,2051
10,IV_Continuation,1,2700,1507,705,1221,1459,188,2977,2043
10,IV_Continuation,1,2700,1507,705,1221,1459,189,2993,2047
10,IV_Continuation,1,2700,1507,705,1221,1459,190,3009,2043
10,IV_Continuation,1,2700,1507,705,1221,1459,191,3025,2047
10,IV_Continuation,1,2700,1507,705,1221,1459,192,3043,2045
10,IV_Continuation,1,2700,1507,705,1221,1459,193,3059,2043
10,IV_Continuation,1,2700,1507,705,1221,1459,194,3075,2043
10,IV_Continuation,1,2700,1507,705,1221,1459,195,3091,2047
10,IV_Continuation,1,2700,1507,705,1221,1459,196,3107,2043
10,IV_Continuation,1,2700,1507,705,1221,1459,197,3123,2041
10,IV_Continuation,1,2700,1507,705,1221,1459,198,3139,2045
10,IV_Continuation,1,2700,1507,705,1221,1459,199,3155,2053
10,IV_Continuation,1,2700,1507,705,1221,1459,200,3171,2043
10,IV_Continuation,1,2700,1507,705,1221,1459,201,3189,2041
10,IV_Continuation,1,2700,1507,705,1221,1459,202,3201,2047
10,IV_Continuation,1,2700,1507,705,1221,1459,203,3217,2045
10,IV_Continuation,1,2700,1507,705,1221,1459,204,3235,2057
10,IV_Continuation,1,2700,1507,705,1221,1459,205,3251,2041
10,IV_Continuation,1,2700,1507,705,1221,1459,206,3265,2043
11,IV_Continuation,1,2700,1507,705,1221,1459,207,3283,2047
11,IV_Continuation,1,2700,1507,705,1221,1459,208,3299,2035
11,IV_Continuation,1,2700,1507,705,1221,1459,209,3315,2037
11,IV_Continuation,1,2700,1507,705,1221,1459,210,3331,2037
11,IV_Continuation,1,2700,1507,705,1221,1459,211,3347,2039
11,IV_Continuation,1,2700,1507,705,1221,1459,212,3363,2049
11,IV_Continuation,1,2700,1507,705,1221,1459,213,3377,2051
11,IV_Continuation,1,2700,1507,705,1221,1459,214,3393,2037
11,IV_Continuation,1,2700,1507,705,1221,1459,215,3411,2049
11,IV_Continuation,1,2700,1507,705,1221,1459,216,3427,2047
11,IV_Continuation,1,2700,1507,705,1221,1459,217,3443,2045
11,IV_Continuation,1,2700,1507,705,1221,1459,218,3459,2049
11,IV_Continuation,1,2700,1507,705,1221,1459,219,3475,2055
11,IV_Continuation,1,2700,1507,705,1221,1459,220,3489,2043
11,IV_Continuation,1,2700,1507,705,1221,1459,221,3507,2039
11,IV_Continuation,1,2700,1507,705,1221,1459,222,3523,2045
11,IV_Continuation,1,2700,1507,705,1221,1459,223,3539,2041
11,IV_Continuation,1,2700,1507,705,1221,1459,224,3557,2039
11,IV_Continuation,1,2700,1507,705,1221,1459,225,3573,2039
11,IV_Continuation,1,2700,1507,705,1221,1459,226,3587,2049
11,IV_Continuation,1,2700,1507,705,1221,1459,227,3603,2049
12,IV_Continuation,1,2700,1507,705,1221,1459,228,3619,2037
12,IV_Continuation,1,2700,1507,705,1221,1459,229,3635,2043
12,IV_Continuation,1,2700,1507,705,1221,1459,230,3651,2039
12,IV_Continuation,1,2700,1507,705,1221,1459,231,3667,2045
12,IV_Continuation,1,2700,1507,705,1221,1459,232,3683,2041
12,IV_Continuation,1,2700,1507,705,1221,1459,233,3699,2049
12,IV_Continuation,1,2700,1507,705,1221,1459,234,3715,2047
12,IV_Continuation,1,2700,1507,705,1221,1459,235,3731,2045
12,IV_Continuation,1,2700,1507,705,1221,1459,236,3745,2049
12,IV_Continuation,1,2700,1507,705,1221,1459,237,3761,2051
12,IV_Continuation,1,2700,1507,705,1221,1459,238,3777,2039
12,IV_Continuation,1,2700,1507,705,1221,1459,239,3793,2041
12,IV_Continuation,1,2700,1507,705,1221,1459,240,3809,2041
12,IV_Continuation,1,2700,1507,705,1221,1459,241,3827,2053
12,IV_Continuation,1,2700,1507,705,1221,1459,242,3841,2035
12,IV_Continuation,1,2700,1507,705,1221,1459,243,3857,2051
12,IV_Continuation,1,2700,1507,705,1221,1459,244,3873,2047
12,IV_Continuation,1,2700,1507,705,1221,1459,245,3887,2045
12,IV_Continuation,1,2700,1507,705,1221,1459,246,3905,2049
12,IV_Continuation,1,2700,1507,705,1221,1459,247,3919,2039
12,IV_Continuation,1,2700,1507,705,1221,1459,248,3937,2041
